rule,text
1.—,"1.—A match is played between two sides of eleven players each, unless otherwise agreed to; each side has two innings, taken alternately, except in the case provided for in Law 53. The choice of innings shall be decided by tossing.
"
2.—,"2.—The score shall be reckoned by runs. A run is scored:—
1st—So often as the Batsmen, after a hit, or at any time while the ball is in play, shall have crossed, and made good their ground from end to end.
2nd—For penalties under Laws 16, 34, 41, and allowances under 44.
Any run or runs so scored shall be duly recorded by scorers appointed for the purpose.
The side which scores the greatest number of runs wins the match. No match is won unless played out or given up, except in the case provided in Law 45.
Notes on Law 2.
When a batsman has actually made more runs for a boundary hit than have been arranged for the boundary, this Law will prevail, and the runs completed should be scored.
Neither side can be compelled to continue after the match is finished.
In a One Day Match the Umpires should decide if there is sufficient time left to carry the game to a further issue after each side has completed an innings.
"
3.—,"3.—Before the commencement of the match two Umpires shall be appointed; one for each end.
Note on Law 3.
It should be noted, especially in League and Saturday Matches, that Umpires are appointed “one for each end” and not one for each side.

6
"
4.—,"4.—The Ball shall weigh not less than five ounces and a half, nor more than five ounces and three-quarters. It shall measure not less than nine inches, nor more than nine inches and one-quarter in circumference. At the beginning of each innings either side may demand a new ball.
Note on Law 4.
It has become the practice to call for a new ball at any time, with the Umpire’s consent, if the old one has become damaged or if the bowler has lifted the seam to obtain a better hold.
"
5.—,"5.—The Bat shall not exceed four inches and one-quarter in the widest part; it shall not be more than thirty-eight inches in length.
(See under Instructions to Umpires.)
"
6.—,"6.—The Wickets shall be pitched opposite and parallel to each other at a distance of twenty-two yards. Each wicket shall be eight inches in width, and consist of three stumps, with two bails upon the top. The stumps shall be of equal and of sufficient size to prevent the ball from passing through, twenty-seven inches out of the ground. The bails shall be each four inches in length, and when in position, on the top of the stumps, shall not project more than half-an-inch above them. The wickets shall not be changed during a match, unless the ground between them become unfit for play, and then only by consent of both sides.
"
7.—,"7.—The Bowling Crease shall be in a line with the stumps: eight feet eight inches in length; the stumps in the centre; with a Return Crease at each end, at right angles behind the wicket.
Note on Law 7.
The Return Crease is shortened for convenience. It must be deemed unlimited in length.
"
8.—,"8.—The Popping Crease shall be marked four feet from the wicket, parallel to it, and be deemed unlimited in length.
"
9.—,"9.—The Ground shall not be rolled, watered, covered, mown, or beaten during a match, except before the commencement of each innings and of each day’s play, when, unless the In-side object, the ground shall be swept and rolled for not more than ten minutes. This shall not prevent the batsman from beating the ground with his bat, nor the batsmen nor bowler from using sawdust in order to obtain a proper foothold.
Note on Law 9.
The batting side has a right to have the ground swept and rolled ""for not more than 10 minutes” before the commencement of each innings and of each day’s play. It is the duty of the Captain to see that his side obtain this advantage. The ground in this law means “the pitch.”
"
10.—,"10.—The Ball must be bowled; if thrown or jerked either Umpire shall call “No Ball.”
"
