Year,Cumulative Matches Played
1877,2
1878,2
1879,3
1880,4
1881,5
1882,10
1883,13
1884,17
1885,21
1886,24
1887,26
1888,30
1889,32
1890,34
1891,34
1892,38
1893,41
1894,43
1895,46
1896,52
1897,53
1898,57
1899,64
1900,64
1901,65
1902,77
1903,78
1904,82
1905,87
1906,92
1907,96
1908,100
1909,105
1910,112
1911,117
1912,129
1913,131
1914,134
1915,134
1916,134
1917,134
1918,134
1919,134
1920,136
1921,147
1922,148
1923,152
1924,158
1925,162
1926,167
1927,169
1928,178
1929,185
1930,200
1931,214
1932,221
1933,230
1934,237
1935,248
1936,256
1937,262
1938,268
1939,274
1940,274
1941,274
1942,274
1943,274
1944,274
1945,274
1946,280
1947,291
1948,308
1949,319
1950,328
1951,345
1952,361
1953,378
1954,393
1955,419
1956,434
1957,445
1958,463
1959,483
1960,501
1961,518
1962,536
1963,548
1964,572
1965,598
1966,613
1967,625
1968,643
1969,669
1970,675
1971,693
1972,710
1973,737
1974,765
1975,800
1976,829
1977,858
1978,895
1979,949
1980,995
1981,1046
1982,1107
1983,1203
1984,1288
1985,1379
1986,1471
1987,1570
1988,1655
1989,1731
1990,1818
1991,1878
1992,1993
1993,2111
1994,2247
1995,2347
1996,2502
1997,2661
1998,2814
1999,3011
2000,3188
2001,3363
2002,3562
2003,3801
2004,4061
2005,4373
2006,4780
2007,5261
2008,5741
2009,6315
2010,7113
2011,7829
2012,8636
2013,9561
2014,10398
2015,11271
2016,12121
2017,12896
2018,13791
2019,15209
