name,distribution,best_fit,pl_alpha,pl_ll,po_lambda,po_ll,plc_alpha,plc_lam,plc_ll
1823,in_degree,,,,,,,,
1823,out_degree,,,,,,,,
1823,in_weight,,,,,,,,
1823,out_weight,,,,,,,,
1828,in_degree,,,,,,,,
1828,out_degree,,,,,,,,
1828,in_weight,,,,,,,,
1828,out_weight,,,,,,,,
1830,in_degree,,,,,,,,
1830,out_degree,,,,,,,,
1830,in_weight,,,,,,,,
1830,out_weight,,,,,,,,
1835,in_degree,,,,,,,,
1835,out_degree,powerlaw,,-inf,,-inf,,,-inf
1835,in_weight,,,,,,,,
1835,out_weight,powerlaw,,-inf,,-inf,,,-inf
1857,in_degree,powerlaw,,-inf,,-inf,,,-inf
1857,out_degree,powerlaw,,-inf,,-inf,,,-inf
1857,in_weight,powerlaw,,-inf,,-inf,,,-inf
1857,out_weight,powerlaw,,-inf,,-inf,,,-inf
1884,in_degree,powerlaw,,-inf,,-inf,,,-inf
1884,out_degree,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1884,in_weight,powerlaw,,-inf,,-inf,,,-inf
1884,out_weight,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1890,in_degree,powerlaw,,-inf,,-inf,,,-inf
1890,out_degree,powerlaw,0.500005,-10.6948,3.33333,-11.6986,0.299157,9.33495e-14,-10.6452
1890,in_weight,powerlaw,,-inf,,-inf,,,-inf
1890,out_weight,powerlaw,0.500005,-10.6948,3.33333,-11.6986,0.299157,9.33495e-14,-10.6452
1892,in_degree,powerlaw,,-inf,,-inf,,,-inf
1892,out_degree,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1892,in_weight,powerlaw,,-inf,,-inf,,,-inf
1892,out_weight,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1896,in_degree,powerlaw,,-inf,,-inf,,,-inf
1896,out_degree,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1896,in_weight,powerlaw,,-inf,,-inf,,,-inf
1896,out_weight,powerlaw,0.73545,-10.0746,3,-12.248,0.73545,1.28691e-13,-10.0746
1900,in_degree,powerlaw,,-inf,,-inf,,,-inf
1900,out_degree,powerlaw,0.500005,-8.16758,3.2,-9.35251,0.110888,1.05378e-13,-8.03702
1900,in_weight,powerlaw,,-inf,,-inf,,,-inf
1900,out_weight,powerlaw,0.500005,-8.85355,3.4,-10.2623,0.356939,4.32063e-13,-8.83238
1902,in_degree,powerlaw,1.69432,-16.5375,1.4,-17.3867,,,-inf
1902,out_degree,powerlaw,1.01017,-17.3523,2.54545,-20.0866,1.01016,2.53513e-13,-17.3523
1902,in_weight,powerlaw,1.78461,-19.4449,1.5,-20.3324,,,-inf
1902,out_weight,powerlaw,0.821865,-18.1539,2.72727,-20.7173,0.821866,1.61999e-13,-18.1539
1906,in_degree,powerlaw,1.69432,-16.5375,1.4,-17.3867,,,-inf
1906,out_degree,powerlaw,1.01017,-17.3523,2.54545,-20.0866,1.01016,2.53513e-13,-17.3523
1906,in_weight,powerlaw,1.78461,-19.4449,1.5,-20.3324,,,-inf
1906,out_weight,powerlaw,0.821865,-18.1539,2.72727,-20.7173,0.821866,1.61999e-13,-18.1539
